"person","dwell_time_1","dwell_time_2","dwell_time_3","dwell_time_4","dwell_time_5","flight_time_1","flight_time_2","flight_time_3","flight_time_4","pressure_1","pressure_2","pressure_3","pressure_4","pressure_5","area_1","area_2","area_3","area_4","area_5"
"0","73.0","65.0","57.0","49.0","83.0","110.0","176.0","217.0","284.0","0.862500011920929","0.862500011920929","1.0625","1.3125","0.9625000357627869","0.4107142984867096","0.4107142984867096","0.4821428656578064","0.6071428656578064","0.4642857313156128"
"0","65.0","66.0","63.0","40.0","64.0","127.0","177.0","210.0","269.0","0.987500011920929","0.9000000357627869","1.225000023841858","1.2625000476837158","0.987500011920929","0.5","0.4285714626312256","0.5714285969734192","0.5714285969734192","0.4821428656578064"
"0","56.0","74.0","65.0","48.0","57.0","110.0","151.0","201.0","825.0","0.949999988079071","1.0","1.225000023841858","1.1875","0.9625000357627869","0.4464285969734192","0.4821428656578064","0.5535714626312256","0.535714328289032","0.4464285969734192"
"0","64.0","55.0","48.0","48.0","65.0","104.0","184.0","244.0","268.0","0.862500011920929","0.8500000238418579","1.1375000476837158","1.162500023841858","1.0500000715255737","0.4107142984867096","0.392857164144516","0.5178571939468384","0.535714328289032","0.5"
"0","65.0","56.0","56.0","56.0","63.0","111.0","185.0","202.0","262.0","0.9000000357627869","0.7750000357627869","1.212499976158142","1.274999976158142","1.149999976158142","0.4464285969734192","0.3571428656578064","0.5535714626312256","0.5714285969734192","0.5535714626312256"
"0","73.0","65.0","57.0","49.0","24.0","110.0","201.0","258.0","301.0","0.8500000238418579","0.9000000357627869","1.0500000715255737","1.2000000476837158","0.6875","0.392857164144516","0.4285714626312256","0.5","0.5714285969734192","0.3214285969734192"
"0","72.0","57.0","66.0","48.0","65.0","102.0","208.0","218.0","260.0","0.949999988079071","0.875","1.037500023841858","1.274999976158142","1.149999976158142","0.4464285969734192","0.4107142984867096","0.4821428656578064","0.5892857313156128","0.535714328289032"
"0","65.0","40.0","56.0","49.0","57.0","118.0","194.0","226.0","934.0","0.887499988079071","0.824999988079071","1.162500023841858","1.1875","0.887499988079071","0.4107142984867096","0.3750000298023224","0.535714328289032","0.5714285969734192","0.4107142984867096"
"0","48.0","65.0","57.0","40.0","66.0","118.0","193.0","226.0","267.0","0.875","0.9625000357627869","1.0","1.149999976158142","1.087499976158142","0.4107142984867096","0.4464285969734192","0.4642857313156128","0.535714328289032","0.5178571939468384"
"0","73.0","41.0","48.0","38.0","73.0","142.0","235.0","228.0","286.0","0.8125","0.8125","1.0625","1.225000023841858","1.1375000476837158","0.392857164144516","0.3750000298023224","0.5","0.5714285969734192","0.535714328289032"
"0","48.0","74.0","54.0","39.0","56.0","151.0","203.0","211.0","734.0","0.7125000357627869","1.037500023841858","1.149999976158142","1.1875","1.0125000476837158","0.3214285969734192","0.5","0.5178571939468384","0.5535714626312256","0.4821428656578064"
"0","74.0","64.0","56.0","31.0","65.0","94.0","160.0","227.0","310.0","0.987500011920929","1.037500023841858","1.1125000715255737","1.0750000476837158","1.100000023841858","0.4642857313156128","0.4821428656578064","0.535714328289032","0.5","0.5178571939468384"
"0","40.0","65.0","56.0","57.0","64.0","136.0","202.0","218.0","302.0","0.7750000357627869","0.9000000357627869","1.162500023841858","1.3250000476837158","1.1125000715255737","0.3571428656578064","0.392857164144516","0.5714285969734192","0.6071428656578064","0.5178571939468384"
"0","66.0","65.0","49.0","58.0","74.0","101.0","176.0","250.0","268.0","0.949999988079071","0.9375","0.9125000238418579","1.2000000476837158","1.0125000476837158","0.4464285969734192","0.4285714626312256","0.4285714626312256","0.5714285969734192","0.4821428656578064"
"0","56.0","56.0","48.0","39.0","57.0","111.0","226.0","253.0","284.0","0.925000011920929","0.8500000238418579","0.887499988079071","1.1875","1.037500023841858","0.4464285969734192","0.392857164144516","0.4107142984867096","0.5535714626312256","0.4821428656578064"
"0","65.0","41.0","73.0","24.0","81.0","126.0","194.0","226.0","310.0","0.949999988079071","0.9000000357627869","1.149999976158142","0.75","0.987500011920929","0.4642857313156128","0.4285714626312256","0.535714328289032","0.3214285969734192","0.4821428656578064"
"0","57.0","41.0","65.0","48.0","74.0","126.0","192.0","210.0","226.0","0.9125000238418579","0.9000000357627869","1.225000023841858","1.2375000715255737","1.1375000476837158","0.4285714626312256","0.4285714626312256","0.5535714626312256","0.5714285969734192","0.5535714626312256"
"0","75.0","65.0","56.0","32.0","55.0","116.0","177.0","217.0","262.0","0.875","0.9750000238418579","1.149999976158142","1.1125000715255737","1.100000023841858","0.392857164144516","0.4642857313156128","0.535714328289032","0.535714328289032","0.5178571939468384"
"0","65.0","65.0","81.0","47.0","66.0","103.0","167.0","204.0","259.0","0.862500011920929","1.037500023841858","1.2375000715255737","1.287500023841858","1.087499976158142","0.392857164144516","0.5","0.5714285969734192","0.6071428656578064","0.5178571939468384"
"0","56.0","65.0","74.0","41.0","58.0","93.0","176.0","217.0","285.0","1.0","0.987500011920929","1.212499976158142","1.212499976158142","1.0750000476837158","0.4642857313156128","0.4821428656578064","0.5714285969734192","0.5535714626312256","0.5178571939468384"
"1","87.0","91.0","81.0","48.0","48.0","135.0","243.0","236.0","401.0","0.612500011920929","0.7250000238418579","0.824999988079071","1.2375000715255737","0.75","0.267857164144516","0.3214285969734192","0.392857164144516","0.5714285969734192","0.3214285969734192"
"1","82.0","82.0","73.0","65.0","79.0","118.0","252.0","226.0","345.0","0.8125","0.8375000357627869","0.887499988079071","1.2000000476837158","0.7750000357627869","0.3750000298023224","0.4107142984867096","0.392857164144516","0.5535714626312256","0.3392857313156128"
"1","99.0","82.0","64.0","57.0","89.0","127.0","251.0","226.0","319.0","0.800000011920929","0.862500011920929","0.862500011920929","1.287500023841858","0.762499988079071","0.3571428656578064","0.3750000298023224","0.392857164144516","0.6071428656578064","0.3571428656578064"
"1","91.0","89.0","66.0","55.0","74.0","118.0","201.0","244.0","351.0","0.8500000238418579","0.824999988079071","0.875","1.2625000476837158","0.7875000238418579","0.4107142984867096","0.392857164144516","0.392857164144516","0.5892857313156128","0.3571428656578064"
"1","98.0","73.0","65.0","65.0","82.0","126.0","235.0","318.0","301.0","0.7875000238418579","0.8500000238418579","0.875","1.212499976158142","0.762499988079071","0.3571428656578064","0.3750000298023224","0.392857164144516","0.5714285969734192","0.3392857313156128"
"1","90.0","81.0","74.0","74.0","81.0","135.0","260.0","218.0","352.0","0.9000000357627869","0.8125","0.9000000357627869","1.2000000476837158","0.800000011920929","0.4107142984867096","0.3750000298023224","0.4285714626312256","0.5535714626312256","0.3571428656578064"
"1","105.0","99.0","82.0","74.0","97.0","118.0","243.0","242.0","327.0","0.8125","0.7875000238418579","0.9125000238418579","1.162500023841858","0.75","0.3571428656578064","0.3750000298023224","0.4285714626312256","0.535714328289032","0.3214285969734192"
"1","98.0","100.0","66.0","65.0","82.0","100.0","217.0","252.0","309.0","0.9000000357627869","0.862500011920929","0.8375000357627869","1.1750000715255737","0.7750000357627869","0.4107142984867096","0.4107142984867096","0.392857164144516","0.5535714626312256","0.3571428656578064"
"1","108.0","90.0","74.0","73.0","89.0","117.0","234.0","268.0","327.0","0.862500011920929","0.862500011920929","0.9125000238418579","1.212499976158142","0.800000011920929","0.392857164144516","0.392857164144516","0.4285714626312256","0.535714328289032","0.3571428656578064"
"1","90.0","82.0","64.0","82.0","108.0","109.0","219.0","251.0","317.0","0.875","0.8375000357627869","0.800000011920929","1.225000023841858","0.8125","0.392857164144516","0.3750000298023224","0.3571428656578064","0.5714285969734192","0.3571428656578064"
"1","98.0","82.0","64.0","65.0","81.0","101.0","277.0","235.0","327.0","0.8500000238418579","0.875","0.762499988079071","1.25","0.800000011920929","0.4107142984867096","0.4107142984867096","0.3571428656578064","0.5714285969734192","0.3571428656578064"
"1","98.0","99.0","73.0","57.0","99.0","92.0","218.0","251.0","327.0","0.887499988079071","0.875","0.800000011920929","1.1750000715255737","0.800000011920929","0.4107142984867096","0.4107142984867096","0.3571428656578064","0.535714328289032","0.3571428656578064"
"1","81.0","82.0","82.0","65.0","72.0","110.0","234.0","218.0","285.0","0.875","0.824999988079071","0.8375000357627869","1.2000000476837158","0.7875000238418579","0.4107142984867096","0.3750000298023224","0.392857164144516","0.5714285969734192","0.3571428656578064"
"1","99.0","74.0","72.0","55.0","82.0","109.0","210.0","228.0","276.0","0.8500000238418579","0.8500000238418579","0.949999988079071","1.2375000715255737","0.7750000357627869","0.4107142984867096","0.4107142984867096","0.4464285969734192","0.5714285969734192","0.3571428656578064"
"1","82.0","96.0","74.0","66.0","65.0","111.0","219.0","209.0","300.0","0.800000011920929","0.8375000357627869","0.9125000238418579","1.1750000715255737","0.762499988079071","0.3750000298023224","0.392857164144516","0.4285714626312256","0.5714285969734192","0.3214285969734192"
"1","89.0","82.0","64.0","64.0","73.0","111.0","227.0","210.0","303.0","0.800000011920929","0.875","0.887499988079071","1.212499976158142","0.75","0.3750000298023224","0.4107142984867096","0.4285714626312256","0.5714285969734192","0.3392857313156128"
"1","89.0","97.0","98.0","56.0","82.0","94.0","210.0","210.0","301.0","0.762499988079071","0.8375000357627869","0.9625000357627869","1.2625000476837158","0.7875000238418579","0.3392857313156128","0.392857164144516","0.4642857313156128","0.5892857313156128","0.3571428656578064"
"1","90.0","88.0","74.0","65.0","82.0","111.0","217.0","235.0","283.0","0.887499988079071","0.887499988079071","0.949999988079071","1.2000000476837158","0.7875000238418579","0.4107142984867096","0.4107142984867096","0.4285714626312256","0.5535714626312256","0.3571428656578064"
"1","98.0","90.0","57.0","56.0","74.0","102.0","200.0","253.0","250.0","0.9000000357627869","0.875","0.8500000238418579","1.3250000476837158","0.7875000238418579","0.4464285969734192","0.392857164144516","0.392857164144516","0.6071428656578064","0.3571428656578064"
"1","81.0","90.0","82.0","57.0","81.0","118.0","227.0","226.0","293.0","0.8125","0.862500011920929","0.949999988079071","1.212499976158142","0.800000011920929","0.3750000298023224","0.4107142984867096","0.4285714626312256","0.5714285969734192","0.3571428656578064"
